Date/time	 9  Mode Anode PS V	10  Mode Anode PS I	11  Oil Temperature	12  Water In Temperature	13  Collector Temperature	15  Body Temperature	21  Magnet Current	25  Vac Ion	31  Filament V	32  Filament I	41  Klystron Average P	42  Reflected Power	52  High Voltage Kv	53  High Voltage Amp	55  Beam Amps	57  HV Phase A I	58  HV Phase B I	59  HV Phase C I	
13:33:30-20.09.00	51,09	1,51	29,86	18,10	17,99	17,96	21,85	0,03	17,14	0,02	0,05	10,38	0,16	0,03	0,00	0,09	0,11	0,09	
13:43:31-20.09.00	111,42	0,73	29,84	18,00	17,95	17,90	21,81	0,04	17,19	0,03	0,05	6,23	0,10	0,03	0,00	0,23	0,25	0,11	
10:42:47-25.09.00	2,67	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,01	0,06	0,00	1,04	0,02	0,00	0,00	0,09	0,14	0,11	
10:52:47-25.09.00	3,27	0,68	21,97	16,51	16,17	16,30	22,06	0,03	0,02	0,06	0,05	13,75	0,18	0,03	8,90	0,09	0,25	0,11	
11:02:48-25.09.00	0,77	1,37	22,27	17,12	16,81	16,89	21,99	0,20	0,04	0,05	0,06	10,12	0,22	0,03	8,90	0,09	0,21	0,11	
11:12:48-25.09.00	2,61	0,73	22,69	17,65	17,48	17,53	22,02	0,03	17,29	0,10	0,06	5,97	0,18	0,02	8,90	0,09	0,09	0,14	
11:22:48-25.09.00	22,35	0,88	23,32	18,20	18,09	18,06	21,98	0,03	17,28	0,03	0,05	11,15	20,08	0,03	8,90	17,74	16,62	15,43	
11:32:48-25.09.00	29,93	2,31	23,84	18,83	18,96	18,65	21,98	0,03	17,26	0,07	0,05	8,82	38,21	0,21	8,90	22,57	21,06	20,19	
11:42:48-25.09.00	9,65	0,81	24,34	19,73	19,83	19,63	21,90	0,02	17,30	0,04	0,08	11,15	0,35	0,03	8,90	0,09	0,23	0,09	
11:52:48-25.09.00	27,58	3,32	24,85	20,43	21,02	20,31	21,82	0,04	17,19	0,03	0,06	4,41	43,17	0,31	8,90	24,42	22,77	21,56	
12:02:48-25.09.00	6,45	0,15	25,15	21,10	21,49	21,10	21,78	0,03	17,30	0,05	0,05	10,64	0,25	0,04	8,90	0,21	0,09	0,16	
